Account info: Library Tag;Machine(s): Last contact;Machine(s): Last inventory;Machine(s): Operating system;Machine(s): User;Machine(s): User agent;Computer;
1-001-P;2017-05-23 16:54:55;2017-05-23 16:54:55;Microsoft Windows 10 Education;ekoma1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC01;
1-002-P;2017-05-22 23:30:09;2017-05-22 23:30:09;Microsoft Windows 10 Education;aokg4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC02;
1-005-P;2017-05-23 14:40:54;2017-05-23 14:40:54;Microsoft Windows 10 Education;savage3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC05;
1-007-P;2017-05-21 22:12:48;2017-05-21 22:12:48;Microsoft Windows 10 Education;tmahari1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC07;
1-008-P;2017-05-23 08:06:47;2017-05-23 08:06:47;Microsoft Windows 10 Education;smorge1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC08;
1-009-P;2017-05-22 23:39:22;2017-05-22 23:39:22;Microsoft Windows 10 Education;cajulia1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC09;
1-010-P;2017-05-23 17:16:25;2017-05-23 17:16:25;Microsoft Windows 10 Education;aokg15;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC10;
1-011-P;2017-05-22 23:53:28;2017-05-22 23:53:28;Microsoft Windows 10 Education;skrish2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC11;
1-014-P;2017-05-23 05:42:58;2017-05-23 05:42:58;Microsoft Windows 10 Education;skahsai1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC14;
1-015-P;2017-05-22 23:17:14;2017-05-22 23:17:14;Microsoft Windows 10 Education;aokg3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC15;
1-016-P;2017-05-22 19:12:01;2017-05-22 19:12:01;Microsoft Windows 10 Education;htekle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC16;
1-017-P;2017-05-23 00:47:26;2017-05-23 00:47:26;Microsoft Windows 10 Education;htekle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC17;
1-02-P;2017-05-22 19:16:14;2017-05-22 19:16:14;Microsoft Windows 10 Education;fam4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC42;
1-024-P;2017-05-23 16:01:22;2017-05-23 16:01:22;Microsoft Windows 10 Education;rafay1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC24;
1-025-P;2017-05-23 11:03:07;2017-05-23 11:03:07;Microsoft Windows 10 Education;anoble1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC25;
1-027-P;2017-05-22 10:09:36;2017-05-22 10:09:36;Microsoft Windows 10 Education;ro13;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC27;
1-028-P;2017-05-23 01:51:12;2017-05-23 01:51:12;Microsoft Windows 10 Education;dingy1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC28;
1-029-P;2017-05-22 21:16:03;2017-05-22 21:16:03;Microsoft Windows 10 Education;Zar1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC29;
1-030-P;2017-05-19 15:20:03;2017-05-19 15:20:03;Microsoft Windows 10 Education;aokg1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC30;
1-031-P;2017-05-22 23:45:09;2017-05-22 23:45:09;Microsoft Windows 10 Education;htekle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC31;
1-038-P;2017-05-22 23:39:10;2017-05-22 23:39:10;Microsoft Windows 10 Education;miles4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC38;
1-039-P;2017-05-22 23:34:46;2017-05-22 23:34:46;Microsoft Windows 10 Education;aperry1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC39;
1-040-P;2017-05-22 23:30:45;2017-05-22 23:30:45;Microsoft Windows 10 Education;bhorne1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC40;
1-041-P;2017-05-23 12:22:54;2017-05-22 23:45:13;Microsoft Windows 10 Education;hsu4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC41;
2-01-P;2017-05-23 15:56:34;2017-05-23 15:56:34;Microsoft Windows 10 Education;rostan1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC01;
2-02-P;2017-05-23 11:27:32;2017-05-23 11:27:32;Microsoft Windows 10 Education;doriala1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC02;
2-03-P;2017-05-23 11:02:16;2017-05-23 11:02:16;Microsoft Windows 10 Education;eburch2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC03;
2-04-P;2017-05-23 06:02:35;2017-05-23 06:02:35;Microsoft Windows 10 Education;parksva1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC04;
2-05-P;2017-05-23 08:05:24;2017-05-23 08:05:24;Microsoft Windows 10 Education;mi27;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC05;
2-06-P;2017-05-23 16:12:01;2017-05-23 16:12:01;Microsoft Windows 10 Education;deluty;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC06;
2-07-P;2017-05-23 10:01:51;2017-05-23 10:01:51;Microsoft Windows 10 Education;chen19;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC07;
2-09-P;2017-05-23 10:03:44;2017-05-23 10:03:44;Microsoft Windows 10 Education;justinc2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC09;
2-10-p;2017-05-23 05:43:23;2017-05-23 05:43:23;Microsoft Windows 10 Education;aokg10;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC10;
2-11-P;2017-05-23 00:00:52;2017-05-23 00:00:52;Microsoft Windows 10 Education;cheryl6;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC11;
2-12-p;2017-05-22 16:23:25;2017-05-22 16:23:25;Microsoft Windows 10 Education;jordan24;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC12;
2-13-P;2017-05-01 12:28:29;2017-05-01 12:28:29;Microsoft Windows 10 Education;isis1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC13;
